Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crestfactor,Formfactor,Fault
0.422,-0.813,-0.1145437765515894,0.1148490737107081,0.1622077868406882,0.0062587268440714,0.5931382818928155,2.602067971368002,-1.416106429117032,Inner Race
0.5275,-0.825,-0.1141318179598613,0.1144452510442705,0.161635570027464,-0.0119621661348875,0.6843107697351081,3.2695799437293878,-1.416239980692923,Inner Race
0.524,-0.714,-0.1139595683382977,0.1147611036608706,0.1617460573778732,0.0372180311428944,0.4694062193327131,3.2501555240138704,-1.4193568099729703,Inner Race
0.6005,-0.739,-0.1144620098637628,0.1128174203692288,0.1607268847926697,0.0126545339043264,0.7688569693440972,3.747064278223191,-1.4042831462726122,Inner Race
0.5985,-0.719,-0.1152182967918355,0.1159661928888756,0.1634837680451812,-0.022894387298001,0.6602857026547768,3.652781324256745,-1.4189278465519344,Inner Race
0.4539999999999999,-0.7505,-0.1137824600810586,0.1160986408894757,0.1625609118512748,-0.0019161942250077,0.5476347803001551,2.7939136818362567,-1.4287363032353293,Inner Race
0.636,-0.8775,-0.1147422725719029,0.117605652265864,0.1643183958893868,0.0108715979073884,0.741433852021619,3.871499422487944,-1.432027067470505,Inner Race
0.63,-0.7275,-0.1143501635822061,0.117221630523008,0.1637596583890472,0.0018372251274421,0.6505027689944569,3.8494351695200746,-1.4320602679940952,Inner Race
0.5055000000000001,-0.7865,-0.1142956931490795,0.1168184452603681,0.1634319719929539,0.0217174942483904,0.7242142260850815,3.092697856240667,-1.429908436150543,Inner Race
0.5325,-0.7344999999999999,-0.1148156404121295,0.1144897348472569,0.1621486106646805,-0.0263890808564029,0.5075095768536302,3.281316670337506,-1.412232500783519,Inner Race
0.652,-0.669,-0.11418089262171,0.1136248626844547,0.1610874572196442,-0.0122708797123962,0.5846319610970594,4.056664696089407,-1.4108389247381816,Inner Race
0.5775,-0.945,-0.1151001269593242,0.1157038244860552,0.1632043339012338,-0.0289218432952016,1.1070353342939931,3.543508691503228,-1.417930642784992,Inner Race
0.5545,-0.8885000000000001,-0.1140552761365301,0.1171728817740393,0.1635206829318425,0.0425499688794212,0.8480860249888762,3.3926056769428112,-1.4337129303005618,Inner Race
0.4659999999999999,-0.742,-0.1133708677181503,0.1169438361761398,0.1628802488080124,0.0157287355930846,0.479210621124289,2.8620495541506727,-1.436737211679401,Inner Race
0.6054999999999999,-0.8765000000000001,-0.1148696469554177,0.1178138911898385,0.1645534398000888,0.0199390451282588,0.826266587156693,3.6779638593010935,-1.4325510719235588,Inner Race
0.5954999999999999,-1.0445,-0.1154493139313443,0.1182680840322172,0.1652813842965896,-0.0865603116769527,1.281548699248089,3.60916314648677,-1.431640536497363,Inner Race
0.4525,-0.653,-0.1139074906001269,0.1151433181676499,0.161978967795432,0.0210560307931782,0.399230741319001,2.795538229311292,-1.4221141968198316,Inner Race
0.522,-0.8654999999999999,-0.1140858684506079,0.1170712073137569,0.1634799975209404,0.0172371759307785,0.6408411447313294,3.1996691935188952,-1.4329984424192848,Inner Race
0.5225,-0.8009999999999999,-0.1149019727525758,0.115957860621889,0.163251451897357,0.0141264759685764,0.548723748608761,3.2048980685198165,-1.4206768323710703,Inner Race
0.5165,-0.8105,-0.1140917525269788,0.1145968943254762,0.1617194930729079,0.0177750850617743,0.6346553699097017,3.2006993013591813,-1.4174595031218606,Inner Race
0.5155000000000001,-0.8935,-0.1137448117583866,0.1188931955829236,0.1645448659755335,-0.0172170184048933,0.7031996543321826,3.1332851002538327,-1.4467014974032104,Inner Race
0.629,-0.756,-0.1150593046535475,0.1169114515426584,0.1640379149236308,-0.0212706294871096,0.74498786269237,3.843008725882883,-1.4256695893232698,Inner Race
0.6105,-0.796,-0.1148152253528004,0.1159603851304231,0.1631900206390249,-0.0137925761156514,0.8456299827803238,3.7440000971967,-1.4213035057917645,Inner Race
0.499,-0.764,-0.1148559255823038,0.1179008891222222,0.1645991523760639,-0.0003928924539032,0.5981024585480668,3.033823743697761,-1.4330936175428235,Inner Race
0.4465,-0.9725,-0.1148515796669759,0.1155481015470607,0.1629242354473246,-0.0226400175086582,0.6805497540170329,2.7419826345321576,-1.4185678045937982,Inner Race
0.5505,-0.7995,-0.1149964353728209,0.1184582896849802,0.1650980741764206,-0.058340907679578,0.698122648795543,3.336607803370341,-1.4357241899017632,Inner Race
0.481,-0.753,-0.114645344010938,0.1169700254289475,0.1637929311179001,-0.0129668127616907,0.561127888889307,2.940073280691517,-1.4286406174465576,Inner Race
0.557,-0.796,-0.1141037160017579,0.1160471859448,0.1627576104226814,0.0172742152076677,0.6019079444258353,3.429125107406542,-1.4264465065551264,Inner Race
0.636,-0.7155,-0.1145928512134381,0.1172240287724302,0.1639415413145217,0.0210153611530736,0.6262440899097415,3.892768564160252,-1.430699727148978,Inner Race
0.5065,-0.8315,-0.1145737096537916,0.1148270252556289,0.1622146838335815,-0.0120207968835731,0.5324070963669687,3.120091915180934,-1.415835940792804,Inner Race
0.675,-0.7505,-0.1144541481517652,0.1174787501901437,0.1640305401129093,0.0189655848743484,0.7482298381635906,4.126234517052383,-1.4331980963704565,Inner Race
0.5015000000000001,-0.652,-0.1147855364031446,0.1145030367195935,0.162146216449495,0.028761904748375,0.3919511683811683,3.091424778213315,-1.4126418175361408,Inner Race
0.5335000000000001,-0.8225,-0.1139525855754675,0.116185466994659,0.1627465475999422,-0.013674334997212,0.6296382132211868,3.2777043690337324,-1.4282572588429718,Inner Race
0.5455,-0.6815,-0.1140836466624346,0.1144777980283802,0.1616381721270112,0.0244715547552261,0.516012682903533,3.383541025249965,-1.4169000092562998,Inner Race
